,RESPONSEID,MAINBRANCH,EMPLOYMENT,COUNTRY,USSTATE,UKCOUNTRY,EDLEVEL,AGE1STCODE,LEARNCODE,YEARSCODE,YEARSCODEPRO,DEVTYPE,ORGSIZE,CURRENCY,COMPTOTAL,COMPFREQ,LANGUAGEHAVEWORKEDWITH,LANGUAGEWANTTOWORKWITH,DATABASEHAVEWORKEDWITH,DATABASEWANTTOWORKWITH,PLATFORMHAVEWORKEDWITH,PLATFORMWANTTOWORKWITH,WEBFRAMEHAVEWORKEDWITH,WEBFRAMEWANTTOWORKWITH,MISCTECHHAVEWORKEDWITH,MISCTECHWANTTOWORKWITH,TOOLSTECHHAVEWORKEDWITH,TOOLSTECHWANTTOWORKWITH,NEWCOLLABTOOLSHAVEWORKEDWITH,NEWCOLLABTOOLSWANTTOWORKWITH,OPSYS,NEWSTUCK,NEWSOSITES,SOVISITFREQ,SOACCOUNT,SOPARTFREQ,SOCOMM,NEWOTHERCOMMS,AGE,GENDER,TRANS,SEXUALITY,ETHNICITY,ACCESSIBILITY,MENTALHEALTH,SURVEYLENGTH,SURVEYEASE,CONVERTEDCOMPYEARLY,AYUDA
48412,48413,I am a developer by profession,Employed full-time,ESPAÑA,,,"Associate degree (A.A., A.S., etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);Online Forum;Other (please specify):",9,4,"Developer, full-stack",20 to 99 employees,EUR European Euro,32500.0,Yearly,C#;HTML/CSS;Java;JavaScript;Node.js;PHP;Python;SQL,C++;HTML/CSS;Java;JavaScript;Node.js;Python;Rust;SQL;TypeScript,Firebase;MariaDB;MongoDB;PostgreSQL,Elasticsearch;MariaDB;MongoDB;PostgreSQL;Redis,AWS;DigitalOcean;Google Cloud Platform;Heroku,AWS;Google Cloud Platform;Heroku,Django;Express;Laravel;React.js;Spring;Symfony;Vue.js,Express;React.js;Spring;Svelte;Vue.js,NumPy;Pandas,Flutter;NumPy;Pandas;TensorFlow,Docker;Git;Kubernetes;Unity 3D;Unreal Engine,Ansible;Docker;Git;Kubernetes;Puppet;Terraform;Unity 3D;Unreal Engine,IntelliJ;PHPStorm;PyCharm;Rider;Webstorm,IntelliJ;PHPStorm;PyCharm;Rider;Webstorm,MacOS,Call a coworker or friend;Go for a walk or other physical activity;Google it;Do other work and come back later;Play games,Stack Overflow;Stack Exchange,A few times per week,True,A few times per week,"Yes, somewhat",Yes,25-34 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,Appropriate in length,Easy,35132.0,Call a coworker or friend;Go for a walk or other physical activity;Google it;Do other work and come back later;Play games Stack Overflow;Stack Exchange
48417,48418,I am a developer by profession,Employed full-time,ESPAÑA,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);Online Courses or Certification;Books / Physical media",5,2,"Developer, front-end",20 to 99 employees,EUR European Euro,,Monthly,C++;HTML/CSS;Java;JavaScript;Node.js;Python;SQL;TypeScript,Dart;HTML/CSS;Java;JavaScript;Node.js;Python;Rust;SQL;TypeScript,Elasticsearch;Firebase;MongoDB;SQLite,Elasticsearch;Firebase;MongoDB;PostgreSQL;SQLite,Heroku,AWS;DigitalOcean,Django;Drupal;Express;jQuery;React.js;Svelte;Vue.js,Angular;Django;Drupal;Express;jQuery;React.js;Svelte;Vue.js,,,Ansible;Deno;Docker;Git;Yarn,Deno;Docker;Git;Yarn,Android Studio;Atom;Eclipse;IntelliJ;Vim;Visual Studio Code;Webstorm,Android Studio;Neovim;Vim;Webstorm,MacOS,Call a coworker or friend;Go for a walk or other physical activity;Google it;Watch help / tutorial videos;Do other work and come back later;Panic,Stack Overflow,A few times per month or weekly,True,Less than once per month or monthly,"No, not really",Yes,18-24 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,Too long,Neither easy nor difficult,,Call a coworker or friend;Go for a walk or other physical activity;Google it;Watch help / tutorial videos;Do other work and come back later;Panic Stack Overflow
48434,48435,"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,ESPAÑA,,,"Associate degree (A.A., A.S., etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum;Friend or family member;Online Courses or Certification;Other (please specify):;Colleague;Books / Physical media",35,15,"Developer, front-end","1,000 to 4,999 employees",EUR European Euro,24000.0,Monthly,HTML/CSS;PHP;R;SQL,HTML/CSS;Node.js;PHP;Python;SQL,MySQL,MariaDB;MySQL,Google Cloud Platform,AWS;Google Cloud Platform,jQuery,jQuery;Laravel,,,,,,,MacOS,Visit Stack Overflow;Google it;Do other work and come back later,Stack Overflow,A few times per week,True,I have never participated in Q&A on Stack Overflow,"No, not at all",Yes,45-54 years old,Man,No,Straight / Heterosexual,White or of European descent;Hispanic or Latino/a/x,None of the above,None of the above,Appropriate in length,Easy,311328.0,Visit Stack Overflow;Google it;Do other work and come back later Stack Overflow
48522,48523,I am a developer by profession,Employed full-time,ESPAÑA,,,Some college/university study without earning a degree,18 - 24 years,"Other online resources (ex: videos, blogs, etc);Online Forum;Books / Physical media",15,10,"Developer, front-end;Developer, full-stack;Developer, back-end;Database administrator;DevOps specialist;System administrator",20 to 99 employees,EUR European Euro,50000.0,Yearly,Bash/Shell;Clojure;Java;JavaScript;Node.js;SQL,Bash/Shell;Clojure;SQL,PostgreSQL;Redis;SQLite,PostgreSQL;Redis;SQLite,AWS,AWS,React.js,React.js,,,Ansible;Docker;Git;Terraform;Yarn,Ansible;Docker;Git;Terraform;Yarn,Emacs,Emacs,Linux-based,Visit Stack Overflow;Google it;Do other work and come back later,Stack Overflow,Daily or almost daily,True,Less than once per month or monthly,Neutral,Yes,25-34 years old,Man,No,Prefer not to say,Middle Eastern;East Asian,None of the above,None of the above,Appropriate in length,Easy,54049.0,Visit Stack Overflow;Google it;Do other work and come back later Stack Overflow
48604,48605,I am a developer by profession,Employed full-time,ESPAÑA,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,School;Online Courses or Certification;Books / Physical media,12,3,"Developer, front-end;Data scientist or machine learning specialist","10,000 or more employees",EUR European Euro,26000.0,Yearly,C#;HTML/CSS;Python,C#;Python,Elasticsearch;Microsoft SQL Server;PostgreSQL;Redis;SQLite,Microsoft SQL Server;PostgreSQL;Redis,Microsoft Azure,Microsoft Azure,ASP.NET Core ,ASP.NET Core ,.NET Core / .NET 5,.NET Core / .NET 5;NumPy;Pandas;TensorFlow,Git;Unreal Engine,Git;Unreal Engine;Xamarin,Visual Studio;Visual Studio Code,Visual Studio;Visual Studio Code,Windows,Visit Stack Overflow;Google it;Do other work and come back later;Play games,Stack Overflow;Stack Exchange,Daily or almost daily,True,I have never participated in Q&A on Stack Overflow,Neutral,No,25-34 years old,Man,No,Prefer not to say,White or of European descent,None of the above,None of the above,Appropriate in length,Easy,28105.0,Visit Stack Overflow;Google it;Do other work and come back later;Play games Stack Overflow;Stack Exchange
48626,48627,I am a developer by profession,"Independent contractor, freelancer, or self-employed",ESPAÑA,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18 - 24 years,School,13,10,"Developer, full-stack;Engineering manager","5,000 to 9,999 employees",EUR European Euro,100000.0,Yearly,HTML/CSS;JavaScript;Python;Scala;SQL,Java;Kotlin,Elasticsearch;PostgreSQL;Redis,,AWS,,jQuery;Vue.js,,,,Docker;Git;Kubernetes,Terraform,IntelliJ;Visual Studio Code,,MacOS,Call a coworker or friend;Visit Stack Overflow;Google it;Do other work and come back later,Stack Overflow;Stack Exchange,A few times per week,True,Less than once per month or monthly,"No, not really",No,25-34 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,Appropriate in length,Easy,108098.0,Call a coworker or friend;Visit Stack Overflow;Google it;Do other work and come back later Stack Overflow;Stack Exchange
48659,48660,I am a developer by profession,Employed full-time,ESPAÑA,,,"Associate degree (A.A., A.S., etc.)",5 - 10 years,School;Books / Physical media,12,10,"Developer, back-end",100 to 499 employees,EUR European Euro,67000.0,Yearly,Groovy;Java;JavaScript,Java;Kotlin,,,,,Vue.js,,,,Docker;Git,Docker;Git,IntelliJ,IntelliJ,MacOS,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Google it;Do other work and come back later,Stack Overflow,A few times per month or weekly,True,I have never participated in Q&A on Stack Overflow,"No, not really",No,35-44 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,Appropriate in length,Easy,72426.0,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Google it;Do other work and come back later Stack Overflow
48670,48671,"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,ESPAÑA,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",35 - 44 years,"Other online resources (ex: videos, blogs, etc);School;Online Courses or Certification;Colleague;Books / Physical media",26,19,"Developer, desktop or enterprise applications;Developer, back-end","1,000 to 4,999 employees",EUR European Euro,,Monthly,C#;HTML/CSS;JavaScript;SQL,C#;SQL,Microsoft SQL Server;Redis,Microsoft SQL Server;Redis,AWS;Microsoft Azure,AWS;Microsoft Azure,ASP.NET;ASP.NET Core ,ASP.NET Core ,.NET Framework;.NET Core / .NET 5,.NET Core / .NET 5,Docker;Git,Docker;Git;Kubernetes,Notepad++;Visual Studio;Visual Studio Code,Notepad++;Visual Studio;Visual Studio Code,Windows,Visit Stack Overflow;Google it;Watch help / tutorial videos;Do other work and come back later,Stack Overflow,Daily or almost daily,True,Less than once per month or monthly,Neutral,Yes,35-44 years old,Man,,,,,,Too long,Easy,,Visit Stack Overflow;Google it;Watch help / tutorial videos;Do other work and come back later Stack Overflow
48697,48698,I am a developer by profession,Employed full-time,ESPAÑA,,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",18 - 24 years,Online Courses or Certification;Colleague,14,10,"Developer, mobile;Developer, front-end;Engineering manager;Product manager","1,000 to 4,999 employees",EUR European Euro,150000.0,Yearly,Kotlin;Objective-C;Swift,Kotlin;Swift,,,,,React.js,,React Native,,Docker;Git;Yarn,Docker;Git,Android Studio;Visual Studio Code;Xcode,Android Studio;Visual Studio Code;Xcode,MacOS,Visit Stack Overflow;Google it,Stack Overflow,Daily or almost daily,True,Less than once per month or monthly,"Yes, somewhat",Yes,25-34 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,Too long,Easy,162147.0,Visit Stack Overflow;Google it Stack Overflow
48704,48705,I am a developer by profession,Employed full-time,ESPAÑA,,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",5 - 10 years,"Other online resources (ex: videos, blogs, etc);Online Forum;Colleague;Books / Physical media",23,17,"Developer, front-end;Developer, desktop or enterprise applications;Designer;Educator",100 to 499 employees,EUR European Euro,70000.0,Yearly,Bash/Shell;C;C#;C++;HTML/CSS;JavaScript;Node.js;PowerShell;Python,C;C#;C++;Clojure;Go;Haskell;HTML/CSS;JavaScript;Node.js;R;Rust;TypeScript,,,AWS;Heroku,AWS;Google Cloud Platform;Heroku;Microsoft Azure,Express;Vue.js,Express;Svelte;Vue.js,.NET Framework;.NET Core / .NET 5,.NET Framework;.NET Core / .NET 5;Keras;Pandas;TensorFlow,Docker;Git;Unity 3D;Unreal Engine,Docker;Git;Kubernetes;Unity 3D;Unreal Engine,Visual Studio;Visual Studio Code,Visual Studio;Visual Studio Code,MacOS,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Google it;Do other work and come back later;Meditate,Stack Overflow,Daily or almost daily,True,Less than once per month or monthly,"No, not really",Yes,35-44 years old,Man,No,Straight / Heterosexual,Hispanic or Latino/a/x,None of the above,None of the above,Appropriate in length,Easy,75669.0,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Google it;Do other work and come back later;Meditate Stack Overflow
48720,48721,I am a developer by profession,Employed full-time,ESPAÑA,,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",5 - 10 years,Friend or family member;Books / Physical media,20,17,Other (please specify):,500 to 999 employees,EUR European Euro,52000.0,Yearly,Bash/Shell;HTML/CSS;Java;JavaScript;Kotlin;Node.js;Python;SQL,Go;Java;JavaScript;Python;Swift;TypeScript,Elasticsearch;MongoDB;MySQL;Oracle;PostgreSQL;SQLite,Cassandra;DynamoDB;Elasticsearch;PostgreSQL,AWS;Microsoft Azure,AWS;Heroku,Express;FastAPI;Flask;React.js;Spring,ASP.NET Core ;FastAPI;React.js;Spring;Vue.js,NumPy;React Native,Flutter;NumPy;React Native;TensorFlow,Docker;Git;Puppet;Yarn,Docker;Kubernetes;Terraform,IntelliJ;Vim;Visual Studio Code,IntelliJ;Visual Studio Code,Linux-based,Google it,Stack Overflow;Stack Exchange,A few times per week,True,Less than once per month or monthly,Neutral,Yes,35-44 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,Too long,Neither easy nor difficult,56211.0,Google it Stack Overflow;Stack Exchange
48739,48740,I am a developer by profession,Employed full-time,ESPAÑA,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,School;Colleague,24,17,"Developer, desktop or enterprise applications;Developer, full-stack;Developer, back-end","1,000 to 4,999 employees",EUR European Euro,34000.0,Yearly,C#;C++,C#,MySQL,MongoDB;MySQL;Redis,Microsoft Azure,Microsoft Azure,ASP.NET;ASP.NET Core ,Angular;ASP.NET;ASP.NET Core ;FastAPI;React.js,.NET Framework;.NET Core / .NET 5,.NET Framework;.NET Core / .NET 5,Git,Docker;Git;Kubernetes,Visual Studio;Visual Studio Code,Visual Studio;Visual Studio Code,Windows,Call a coworker or friend;Visit Stack Overflow;Google it;Panic,Stack Overflow;Stack Exchange,Daily or almost daily,True,I have never participated in Q&A on Stack Overflow,"No, not really",No,35-44 years old,Woman,No,Straight / Heterosexual,White or of European descent;Hispanic or Latino/a/x,None of the above,None of the above,Appropriate in length,Easy,36753.0,Call a coworker or friend;Visit Stack Overflow;Google it;Panic Stack Overflow;Stack Exchange
48744,48745,I am a developer by profession,Employed full-time,ESPAÑA,,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum",8,7,"Developer, full-stack",100 to 499 employees,EUR European Euro,36000.0,Yearly,C++;HTML/CSS;Java;JavaScript;Node.js;Python;TypeScript,HTML/CSS;Java;JavaScript;Node.js;Python;TypeScript,,,,,Angular;Express;jQuery;React.js;Spring,Angular;Express;React.js,,,Docker;Git,Ansible;Docker;Git;Kubernetes,IntelliJ;PyCharm;Visual Studio Code,Visual Studio Code,Windows Subsystem for Linux (WSL),Go for a walk or other physical activity;Google it;Watch help / tutorial videos,Stack Overflow;Stack Exchange,A few times per week,True,I have never participated in Q&A on Stack Overflow,"No, not really",No,25-34 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,Appropriate in length,Neither easy nor difficult,38915.0,Go for a walk or other physical activity;Google it;Watch help / tutorial videos Stack Overflow;Stack Exchange
48757,48758,I am a developer by profession,Employed full-time,ESPAÑA,,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",11 - 17 years,School,20,12,"Developer, full-stack;Developer, back-end;Developer, embedded applications or devices",20 to 99 employees,EUR European Euro,33000.0,Yearly,Go;Java;JavaScript;Python,Go;Java;Python;Rust,MariaDB;MySQL,,,,jQuery,,,,,,Eclipse;Notepad++;Vim;Visual Studio Code,IntelliJ;Vim;Visual Studio Code,Windows Subsystem for Linux (WSL),Visit Stack Overflow;Do other work and come back later;Meditate;Play games,Stack Overflow;Stack Exchange,Multiple times per day,True,I have never participated in Q&A on Stack Overflow,"No, not really",Yes,35-44 years old,Man,No,Straight / Heterosexual,White or of European descent;Hispanic or Latino/a/x,None of the above,None of the above,Appropriate in length,Easy,35672.0,Visit Stack Overflow;Do other work and come back later;Meditate;Play games Stack Overflow;Stack Exchange
48764,48765,I am a developer by profession,Employed full-time,ESPAÑA,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25 - 34 years,Online Courses or Certification;Colleague,4,2,"Developer, back-end","10,000 or more employees",EUR European Euro,,,Groovy;HTML/CSS;Java;JavaScript;Node.js;PHP;SQL;VBA,Kotlin,MySQL;Oracle,MongoDB,,,jQuery;React.js;Spring,React.js,,,Git;Kubernetes,,Eclipse;IntelliJ;NetBeans;Notepad++;PHPStorm;Sublime Text;Visual Studio Code;Webstorm,IntelliJ;Webstorm,Windows,Visit Stack Overflow;Google it,Stack Overflow,Multiple times per day,True,Less than once per month or monthly,Neutral,No,25-34 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,Appropriate in length,Easy,,Visit Stack Overflow;Google it Stack Overflow
48780,48781,I am a developer by profession,"Independent contractor, freelancer, or self-employed",ESPAÑA,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5 - 10 years,Books / Physical media,41,25,"Developer, full-stack","Just me - I am a freelancer, sole proprietor, etc.",EUR European Euro,30000.0,Yearly,Bash/Shell;C;C++;HTML/CSS;JavaScript;Node.js;Python,Rust,MariaDB;MongoDB;PostgreSQL;SQLite,,,,React.js,,NumPy;Qt,React Native;TensorFlow,Docker;Git,Ansible,Atom;Vim;Visual Studio Code,,Linux-based,Visit Stack Overflow;Go for a walk or other physical activity;Google it,I have never visited Stack Overflow or the Stack Exchange network,,,,,No,45-54 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,Too short,Easy,32429.0,Visit Stack Overflow;Go for a walk or other physical activity;Google it I have never visited Stack Overflow or the Stack Exchange network
48786,48787,I am a developer by profession,"Independent contractor, freelancer, or self-employed",ESPAÑA,,,Some college/university study without earning a degree,18 - 24 years,"Other online resources (ex: videos, blogs, etc);Online Forum",10,6,"Developer, mobile;Developer, front-end;Developer, full-stack;Developer, back-end;Database administrator;Designer;Product manager;Senior Executive (C-Suite, VP, etc.)",2 to 9 employees,EUR European Euro,48000.0,Yearly,Dart;HTML/CSS;JavaScript;Node.js;TypeScript,Dart;HTML/CSS;JavaScript;Julia;Node.js;Python;TypeScript,Firebase,Firebase,DigitalOcean;Google Cloud Platform,DigitalOcean;Google Cloud Platform,Angular,Angular;Svelte;Vue.js,Flutter,Flutter;TensorFlow,Docker;Git,Git;Unity 3D;Unreal Engine,Visual Studio;Xcode,Visual Studio,MacOS,Google it;Visit another developer community (please name):,Stack Overflow;Stack Exchange,A few times per month or weekly,True,Less than once per month or monthly,"No, not really",Yes,25-34 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,I have a concentration and/or memory disorder (e.g. ADHD),Appropriate in length,Easy,51887.0,Google it;Visit another developer community (please name): Stack Overflow;Stack Exchange
48788,48789,I am a developer by profession,Employed full-time,ESPAÑA,,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Books / Physical media",20,15,"Developer, full-stack;Developer, back-end",100 to 499 employees,EUR European Euro,46000.0,Yearly,Bash/Shell;C#;Go;HTML/CSS;JavaScript;Node.js;SQL;TypeScript,Bash/Shell;Go;HTML/CSS;JavaScript;Node.js;Rust;SQL;TypeScript,Microsoft SQL Server;PostgreSQL;SQLite,PostgreSQL;SQLite,,,ASP.NET Core ;React.js,,.NET Core / .NET 5,,Docker;Git;Yarn,Docker;Git;Yarn,Vim;Visual Studio Code,Vim;Visual Studio Code,Linux-based,Call a coworker or friend;Visit Stack Overflow;Google it;Watch help / tutorial videos;Do other work and come back later;Meditate,Stack Overflow;Stack Exchange,A few times per week,True,I have never participated in Q&A on Stack Overflow,"No, not really",No,35-44 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,Appropriate in length,Easy,49725.0,Call a coworker or friend;Visit Stack Overflow;Google it;Watch help / tutorial videos;Do other work and come back later;Meditate Stack Overflow;Stack Exchange
48833,48834,I am a developer by profession,Employed full-time,ESPAÑA,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,School;Online Courses or Certification,13,7,"Developer, back-end;Designer",20 to 99 employees,EUR European Euro,38720.0,Yearly,C#;JavaScript;SQL,C#;JavaScript;SQL,Microsoft SQL Server;Redis,Microsoft SQL Server;Redis,Microsoft Azure,Microsoft Azure,ASP.NET;jQuery,ASP.NET Core ;jQuery,.NET Core / .NET 5,.NET Core / .NET 5,Git,Git,Notepad++;Visual Studio,Notepad++;Visual Studio,Windows,Go for a walk or other physical activity;Google it;Do other work and come back later,Stack Overflow;Stack Exchange,A few times per week,True,Less than once per month or monthly,"No, not really",No,25-34 years old,Man,No,Straight / Heterosexual,I don't know,None of the above,None of the above,Appropriate in length,Easy,41856.0,Go for a walk or other physical activity;Google it;Do other work and come back later Stack Overflow;Stack Exchange
48836,48837,I am a developer by profession,Employed part-time,ESPAÑA,,,"Other doctoral degree (Ph.D., Ed.D., etc.)",18 - 24 years,"Other online resources (ex: videos, blogs, etc);School;Online Courses or Certification",15,8,"Developer, desktop or enterprise applications;Developer, full-stack;Academic researcher;Database administrator",10 to 19 employees,EUR European Euro,,Monthly,Bash/Shell;C;C++;HTML/CSS;JavaScript;Python;Rust;SQL,Bash/Shell;C;C++;HTML/CSS;JavaScript;Python;Rust;SQL,MariaDB;Microsoft SQL Server,MariaDB;Microsoft SQL Server,,,Django,Django,NumPy,NumPy,Docker,Docker,IPython/Jupyter;Vim;Visual Studio Code,IPython/Jupyter;Vim;Visual Studio Code,Linux-based,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Google it;Watch help / tutorial videos;Do other work and come back later,Stack Overflow;Stack Exchange,A few times per week,True,Less than once per month or monthly,"No, not really",No,25-34 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,Appropriate in length,Neither easy nor difficult,,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Google it;Watch help / tutorial videos;Do other work and come back later Stack Overflow;Stack Exchange
48862,48863,I am a developer by profession,Employed full-time,ESPAÑA,,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",25 - 34 years,"Other online resources (ex: videos, blogs, etc);School;Online Courses or Certification;Books / Physical media",10,5,"Developer, full-stack;Engineer, data;Database administrator",10 to 19 employees,EUR European Euro,42000.0,Yearly,Bash/Shell;C++;HTML/CSS;JavaScript;Python;SQL,Bash/Shell;C++;HTML/CSS;JavaScript;Python;Rust;SQL,PostgreSQL,PostgreSQL;SQLite,AWS;Google Cloud Platform,AWS;Google Cloud Platform,Django;Vue.js,Django;Vue.js,,,Docker;Git;Yarn,Docker;Git;Yarn,Vim;Visual Studio Code,Vim;Visual Studio Code,Linux-based,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Google it;Do other work and come back later;Meditate,Stack Overflow;Stack Exchange,A few times per week,True,A few times per month or weekly,"Yes, definitely",Yes,25-34 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,Appropriate in length,Easy,45401.0,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Google it;Do other work and come back later;Meditate Stack Overflow;Stack Exchange
48864,48865,I am a developer by profession,Employed full-time,ESPAÑA,,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",11 - 17 years,Friend or family member;Books / Physical media,26,18,"Developer, full-stack;Developer, back-end;Database administrator;System administrator",2 to 9 employees,EUR European Euro,25000.0,Yearly,Bash/Shell;C;HTML/CSS;Java;JavaScript;Node.js;PHP;SQL,C++;HTML/CSS;JavaScript;PHP;Python;SQL,Elasticsearch;MariaDB;Oracle,MariaDB;MongoDB;PostgreSQL;SQLite,AWS;Google Cloud Platform;Microsoft Azure,Oracle Cloud Infrastructure,jQuery;Laravel,,Cordova,NumPy,Git;Puppet,Ansible;Docker;Git,Notepad++;Sublime Text,Atom;Notepad++;Sublime Text,Linux-based,Panic,Stack Overflow;Stack Exchange,A few times per week,True,I have never participated in Q&A on Stack Overflow,Neutral,No,35-44 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,Appropriate in length,Neither easy nor difficult,27025.0,Panic Stack Overflow;Stack Exchange
48921,48922,I am a developer by profession,Employed full-time,ESPAÑA,,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",18 - 24 years,School,19,15,"Engineer, data;Developer, back-end",20 to 99 employees,EUR European Euro,130000.0,Yearly,Ruby,Go,MySQL;Redis,Cassandra;Couchbase;DynamoDB;MySQL;Redis,AWS;Google Cloud Platform,AWS;Google Cloud Platform,Ruby on Rails,,,,Docker;Git;Kubernetes,Docker;Git;Kubernetes,IntelliJ;TextMate,IntelliJ;Vim,MacOS,Visit Stack Overflow;Go for a walk or other physical activity;Google it;Watch help / tutorial videos;Meditate;Visit another developer community (please name):,Stack Overflow;Stack Exchange,A few times per week,True,Less than once per month or monthly,Neutral,Yes,35-44 years old,Man,No,Straight / Heterosexual,Hispanic or Latino/a/x,None of the above,I have an anxiety disorder,Appropriate in length,Easy,140527.0,Visit Stack Overflow;Go for a walk or other physical activity;Google it;Watch help / tutorial videos;Meditate;Visit another developer community (please name): Stack Overflow;Stack Exchange
48946,48947,I am a developer by profession,"Independent contractor, freelancer, or self-employed",ESPAÑA,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,School;Other (please specify):,13,5,"Developer, front-end;Developer, full-stack",2 to 9 employees,EUR European Euro,,,HTML/CSS;JavaScript;Node.js,,MySQL,MySQL,AWS;Heroku;Microsoft Azure,AWS,jQuery;React.js;Symfony,jQuery;Symfony,,,Docker;Git,Git,Android Studio;Sublime Text;Visual Studio Code;Xcode,Sublime Text,MacOS,Visit Stack Overflow;Google it,Stack Overflow;Stack Exchange,Multiple times per day,True,Less than once per month or monthly,"No, not really",No,25-34 years old,"Or, in your own words:","Or, in your own words:",Prefer to self-describe:,"Or, in your own words:",None of the above,None of the above,Too long,Difficult,,Visit Stack Overflow;Google it Stack Overflow;Stack Exchange
48955,48956,"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,ESPAÑA,,,Some college/university study without earning a degree,5 - 10 years,"Other online resources (ex: videos, blogs, etc);Online Forum;Online Courses or Certification;Books / Physical media",20,18,Other (please specify):,"10,000 or more employees",EUR European Euro,52000.0,Yearly,C#,C#,IBM DB2;Microsoft SQL Server,IBM DB2;Microsoft SQL Server,,,Angular;ASP.NET Core ,Angular;ASP.NET Core ,.NET Core / .NET 5,.NET Core / .NET 5,Git,Git,Android Studio;Notepad++;Visual Studio;Visual Studio Code,Notepad++;Visual Studio;Visual Studio Code,Other (please specify):,Call a coworker or friend;Visit Stack Overflow;Google it;Meditate,Stack Overflow,Daily or almost daily,True,Less than once per month or monthly,"Yes, somewhat",No,45-54 years old,Man,No,Straight / Heterosexual,Hispanic or Latino/a/x,None of the above,None of the above,Appropriate in length,Easy,56211.0,Call a coworker or friend;Visit Stack Overflow;Google it;Meditate Stack Overflow
48974,48975,I am a developer by profession,"Not employed, but looking for work",ESPAÑA,,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",18 - 24 years,"Other online resources (ex: videos, blogs, etc);Online Forum;Books / Physical media",33,,"Developer, back-end",,,,,HTML/CSS;JavaScript;SQL,,Microsoft SQL Server,Microsoft SQL Server,,,ASP.NET,ASP.NET,.NET Framework,.NET Framework,,,,,Windows,Visit Stack Overflow,Stack Overflow,A few times per month or weekly,False,,"Yes, somewhat",Yes,55-64 years old,Man,No,Straight / Heterosexual,Hispanic or Latino/a/x,I am deaf / hard of hearing,None of the above,Appropriate in length,Easy,,Visit Stack Overflow Stack Overflow
